name,estimator,auc,ci_lo,ci_hi,n,n_speakers,boot_unit,draws,source,note
Audio Flamingo 3 E-DAIC conflict-vs-agreement agreement,zero shot answer,0.8095,0.7447,0.8696,483,138,speaker,2000,edaic_rerun/part14/p14_af3.csv,PART14 new 483-pair set; agreement arm; degenerate draws 0
Audio Flamingo 3 E-DAIC conflict-vs-agreement pooled,zero shot answer,0.6283,0.5787,0.678,966,138,speaker,2000,edaic_rerun/part14/p14_af3.csv,PART14 new 483-pair set; pooled arm; degenerate draws 0
Audio Flamingo 3 E-DAIC conflict minus agreement paired delta,zero shot answer,-0.386,-0.4675,-0.3018,966,138,speaker,2000,edaic_rerun/part14/p14_af3.csv,"PART14 new 483-pair set; 'auc' column holds the PAIRED conflict-minus-agreement AUC DELTA, not an AUC; conflict 0.4235 agreement 0.8095; excludes zero True; degenerate draws 0"
Kimi-Audio E-DAIC conflict-vs-agreement conflict,zero shot answer,0.5258,0.4501,0.5977,483,138,speaker,2000,edaic_rerun/part14/p14_kimi_zeroshot_scores.csv,PART14 new 483-pair set; conflict arm; degenerate draws 0
Kimi-Audio E-DAIC conflict-vs-agreement agreement,zero shot answer,0.8744,0.8172,0.9223,483,138,speaker,2000,edaic_rerun/part14/p14_kimi_zeroshot_scores.csv,PART14 new 483-pair set; agreement arm; degenerate draws 0
Kimi-Audio E-DAIC conflict-vs-agreement pooled,zero shot answer,0.7146,0.6581,0.7689,966,138,speaker,2000,edaic_rerun/part14/p14_kimi_zeroshot_scores.csv,PART14 new 483-pair set; pooled arm; degenerate draws 0
Kimi-Audio E-DAIC conflict minus agreement paired delta,zero shot answer,-0.3486,-0.4248,-0.2795,966,138,speaker,2000,edaic_rerun/part14/p14_kimi_zeroshot_scores.csv,"PART14 new 483-pair set; 'auc' column holds the PAIRED conflict-minus-agreement AUC DELTA, not an AUC; conflict 0.5258 agreement 0.8744; excludes zero True; degenerate draws 0"
Audio Flamingo 2 E-DAIC conflict-vs-agreement conflict,zero shot answer,0.5286,0.4512,0.6015,483,138,speaker,2000,edaic_rerun/part14/p14_af2.csv,PART14 new 483-pair set; conflict arm; degenerate draws 0
Audio Flamingo 2 E-DAIC conflict-vs-agreement agreement,zero shot answer,0.6083,0.5126,0.6997,483,138,speaker,2000,edaic_rerun/part14/p14_af2.csv,PART14 new 483-pair set; agreement arm; degenerate draws 0
Audio Flamingo 2 E-DAIC conflict-vs-agreement pooled,zero shot answer,0.5678,0.4919,0.6402,966,138,speaker,2000,edaic_rerun/part14/p14_af2.csv,PART14 new 483-pair set; pooled arm; degenerate draws 0
Audio Flamingo 2 E-DAIC conflict minus agreement paired delta,zero shot answer,-0.0797,-0.1488,-0.0104,966,138,speaker,2000,edaic_rerun/part14/p14_af2.csv,"PART14 new 483-pair set; 'auc' column holds the PAIRED conflict-minus-agreement AUC DELTA, not an AUC; conflict 0.5286 agreement 0.6083; excludes zero True; degenerate draws 0"
