order_group,line,context,paper_value,file_value,file_path,estimator,status,red_span,reason,value_status,method_constant,kind,section,item_id,added_basis,tex_file
added_23sep,149,Normalising loudness and noise floor lowers those features to 0.60 on NeuroVoz and leaves the encoder probe at 0.89.,0.60,0.9213,<local data dir>/release/omni_final/omni_neurovoz_nested_repeats.json,"five split nested, mean of 5 repeats (json field enc.mean)",MISMATCH,,"context [model=Qwen2.5-Omni (default); data=neurovoz; stream=encoder_probe; arm=all]; best current candidate Qwen2.5-Omni|neurovoz|encoder_probe|all = 0.9213 (five split nested, mean of 5 repeats (json field enc.mean)) rounds to 0.92; same-tier values: 0.8924 (neurovoz NeuroVoz Omni encoder nested probe AUC, , current), 0.916 (neurovoz Qwen2.5-Omni nested encoder probe AUC, n, current), 0.9213 (neurovoz five split nested, mean of 5 repeats (js, current), 0.9213 (neurovoz five split nested, mean of 5 repeats, current)",current,no,point,Probing Results,L149_940,sentences in AudioLLMHealthUtilityGap.tex not in pasted_tex_dryrun.tex,<local data dir>/paper1_final/AudioLLMHealthUtilityGap.tex
added_23sep,149,Normalising loudness and noise floor lowers those features to 0.60 on NeuroVoz and leaves the encoder probe at 0.89.,0.89,0.8924,<local data dir>/release/edaic_rerun/part16/POD4/p16_nv_after_enc_nested_oof.csv,"NeuroVoz Omni encoder nested probe AUC, AFTER normalisation",MATCH,,"context [model=Qwen2.5-Omni (default); data=neurovoz; stream=encoder_probe; arm=all]; tier current; same-tier values that round differently: 0.916 (neurovoz Qwen2.5-Omni nested encoder probe AUC, n, current), 0.9213 (neurovoz five split nested, mean of 5 repeats (js, current), 0.9213 (neurovoz five split nested, mean of 5 repeats, current), 0.9233 (neurovoz NeuroVoz Omni encoder nested probe AUC, , current)",current,no,point,Probing Results,L149_989,sentences in AudioLLMHealthUtilityGap.tex not in pasted_tex_dryrun.tex,<local data dir>/paper1_final/AudioLLMHealthUtilityGap.tex
added_23sep,149,On 38 age and sex matched NeuroVoz pairs the encoder probe stays at 0.90 and the zero-shot answer at 0.63.,38,,,,UNMATCHED,,count 38 not found as n or n_spk in index rows for pitt_agematched,,no,integer,Probing Results,L149_998,sentences in AudioLLMHealthUtilityGap.tex not in pasted_tex_dryrun.tex,<local data dir>/paper1_final/AudioLLMHealthUtilityGap.tex
added_23sep,149,On 38 age and sex matched NeuroVoz pairs the encoder probe stays at 0.90 and the zero-shot answer at 0.63.,0.90,0.7953,<local data dir>/release/overnight2/part10/pitt_enc_nested5_oof.npz,"encoder probe 5split nested, clip level, agematched",MISMATCH,,"context [model=Qwen2.5-Omni (default); data=pitt_agematched; stream=encoder_probe; arm=all]; best current candidate Qwen2.5-Omni|pitt_agematched|encoder_probe|all = 0.7953 (encoder probe 5split nested, clip level, agematched) rounds to 0.80; same-tier values: 0.7953 (pitt_agematched encoder probe 5split nested, clip level,, current)",current,no,point,Probing Results,L149_1063,sentences in AudioLLMHealthUtilityGap.tex not in pasted_tex_dryrun.tex,<local data dir>/paper1_final/AudioLLMHealthUtilityGap.tex
added_23sep,149,On 38 age and sex matched NeuroVoz pairs the encoder probe stays at 0.90 and the zero-shot answer at 0.63.,0.63,0.654,<local data dir>/release/omni_final/omni_pitt_zeroshot_scores.csv,"zero shot answer, clip level, agematched",MISMATCH,,"context [model=Qwen2.5-Omni (default); data=pitt_agematched; stream=zero_shot; arm=all]; best current candidate Qwen2.5-Omni|pitt_agematched|zero_shot|all = 0.654 (zero shot answer, clip level, agematched) rounds to 0.65; same-tier values: 0.654 (pitt_agematched zero shot answer, clip level, agematched, current)",current,no,point,Probing Results,L149_1096,sentences in AudioLLMHealthUtilityGap.tex not in pasted_tex_dryrun.tex,<local data dir>/paper1_final/AudioLLMHealthUtilityGap.tex
added_23sep,149,"On the age-matched clips, the age alone falls to 0.39, while the encoder probe reaches 0.80 and the zero-shot answer 0.65.",0.39,0.3866,<local data dir>/DementiaBank/pitt_manifest.csv,"age alone, clip level, agematched",MATCH,,context [model=Qwen2.5-Omni (default); data=pitt_agematched; stream=age_alone; arm=all]; tier current,current,no,point,Probing Results,L149_1196,sentences in AudioLLMHealthUtilityGap.tex not in pasted_tex_dryrun.tex,<local data dir>/paper1_final/AudioLLMHealthUtilityGap.tex
added_23sep,149,"On the age-matched clips, the age alone falls to 0.39, while the encoder probe reaches 0.80 and the zero-shot answer 0.65.",0.80,0.7953,<local data dir>/release/overnight2/part10/pitt_enc_nested5_oof.npz,"encoder probe 5split nested, clip level, agematched",MATCH,,context [model=Qwen2.5-Omni (default); data=pitt_agematched; stream=encoder_probe; arm=all]; tier current,current,no,point,Probing Results,L149_1234,sentences in AudioLLMHealthUtilityGap.tex not in pasted_tex_dryrun.tex,<local data dir>/paper1_final/AudioLLMHealthUtilityGap.tex
added_23sep,149,"On the age-matched clips, the age alone falls to 0.39, while the encoder probe reaches 0.80 and the zero-shot answer 0.65.",0.65,0.654,<local data dir>/release/omni_final/omni_pitt_zeroshot_scores.csv,"zero shot answer, clip level, agematched",MATCH,,context [model=Qwen2.5-Omni (default); data=pitt_agematched; stream=zero_shot; arm=all]; tier current,current,no,point,Probing Results,L149_1264,sentences in AudioLLMHealthUtilityGap.tex not in pasted_tex_dryrun.tex,<local data dir>/paper1_final/AudioLLMHealthUtilityGap.tex
added_23sep,149,"On Alzheimer's the probe on the language model's states at the audio-token positions reaches 0.80, and the answer state itself achieves 0.77.",0.80,0.8032,<local data dir>/release/omni_final/omni_pitt_nested_repeats.json,"five split nested, mean of 5 repeats (json field llm.mean)",MATCH,,"context [model=Qwen2.5-Omni (default); data=pitt/adresso/adress2020; stream=lm_probe; arm=all]; tier current; same-tier values that round differently: 0.8511 (adress2020 five split nested, mean of 5 repeats (js, current), 0.8511 (adress2020 five split nested, mean of 5 repeats, current), 0.9048 (adresso five split nested, mean of 5 repeats (js, current), 0.9048 (adresso five split nested, mean of 5 repeats, current)",current,no,point,Probing Results,L149_1417,sentences in AudioLLMHealthUtilityGap.tex not in pasted_tex_dryrun.tex,<local data dir>/paper1_final/AudioLLMHealthUtilityGap.tex
added_23sep,149,"On Alzheimer's the probe on the language model's states at the audio-token positions reaches 0.80, and the answer state itself achieves 0.77.",0.77,0.7709,<local data dir>/release/overnight2/part10/o25_pitt_states.npz,"ans_final_stage, GroupKFold(5) by speaker",MATCH,,"context [model=Qwen2.5-Omni (default); data=pitt/adresso/adress2020; stream=answer_state_probe; arm=all]; tier current; same-tier values that round differently: 0.7631 (pitt ans_nested, outer GroupKFold(5) by speak, current), 0.7636 (pitt five split nested, mean of 5 repeats (js, current), 0.7636 (pitt five split nested, mean of 5 repeats, current), 0.8217 (adress2020 five split nested, mean of 5 repeats (js, current)",current,no,point,Probing Results,L149_1460,sentences in AudioLLMHealthUtilityGap.tex not in pasted_tex_dryrun.tex,<local data dir>/paper1_final/AudioLLMHealthUtilityGap.tex
added_23sep,149,"The cosine between the probe direction and the readout direction, the Yes output embedding minus the No output embedding, is 0.01 in magnitude, no larger than between two random directions.",0.01,-0.0109,<local data dir>/release/omni/readout_direction.csv,"readout direction (d_weighted), part10",MATCH,,"context [model=Qwen2.5-Omni (default); data=any; stream=readout_cosine; arm=all]; tier current; same-tier values that round differently: 0.0194 (edaic readout direction (d_weighted), part10, current)",current,no,point,Probing Results,L149_1657,sentences in AudioLLMHealthUtilityGap.tex not in pasted_tex_dryrun.tex,<local data dir>/paper1_final/AudioLLMHealthUtilityGap.tex
added_23sep,149,"On Qwen2-Audio and Qwen3-Omni the cosine is 0.01 and 0.005, at the random floor, and removing the readout direction leaves their probes at 0.81 and 0.83.",0.01,,,,UNMATCHED,,no indexed value for context [model=Qwen2-Audio; data=any; stream=readout_cosine; arm=all; respectively mapping]; hint: equal after rounding: Qwen2-Audio|kcl|lm_probe|all=0.005952 (kcl_groupkfold5_pod.csv) / Qwen2-Audio|pitt|lm_probe|all=0.008013 (pitt_groupkfold5_pod_seed0..4_UNVERIFIED.csv),,no,point,Probing Results,L149_1838,sentences in AudioLLMHealthUtilityGap.tex not in pasted_tex_dryrun.tex,<local data dir>/paper1_final/AudioLLMHealthUtilityGap.tex
added_23sep,149,"On Qwen2-Audio and Qwen3-Omni the cosine is 0.01 and 0.005, at the random floor, and removing the readout direction leaves their probes at 0.81 and 0.83.",0.005,,,,UNMATCHED,,no indexed value for context [model=Qwen3-Omni; data=any; stream=readout_cosine; arm=all; respectively mapping],,no,point,Probing Results,L149_1847,sentences in AudioLLMHealthUtilityGap.tex not in pasted_tex_dryrun.tex,<local data dir>/paper1_final/AudioLLMHealthUtilityGap.tex
added_23sep,149,"On Qwen2-Audio and Qwen3-Omni the cosine is 0.01 and 0.005, at the random floor, and removing the readout direction leaves their probes at 0.81 and 0.83.",0.81,,,,UNMATCHED,,no indexed value for context [model=Qwen3-Omni; data=any; stream=answer_state_probe_minus_readout; arm=all]; hint: equal after rounding: Qwen3-Omni|adress2020|projector_probe|all=0.8149 (q3o_adress2020_nested_repeats.json) / Qwen3-Omni|kcl|projector_probe|all=0.8095 (q3o_kcl_nested_repeats.json) / Qwen3-Omni|pitt|encoder_probe|all=0.8122 (q3o_pitt_encoder_nested_oof.csv),,no,point,Probing Results,L149_1933,sentences in AudioLLMHealthUtilityGap.tex not in pasted_tex_dryrun.tex,<local data dir>/paper1_final/AudioLLMHealthUtilityGap.tex
added_23sep,149,"On Qwen2-Audio and Qwen3-Omni the cosine is 0.01 and 0.005, at the random floor, and removing the readout direction leaves their probes at 0.81 and 0.83.",0.83,,,,UNMATCHED,,no indexed value for context [model=Qwen3-Omni; data=any; stream=answer_state_probe_minus_readout; arm=all]; hint: equal after rounding: Qwen3-Omni|pitt|answer_state_probe|all=0.8268 (q3o_pitt_nested_repeats.json) / Qwen3-Omni|pitt|answer_state_probe|all=0.8307 (readout_direction_q3o_by_arm.csv) / Qwen3-Omni|pitt|?|all=0.8305 (readout_direction_q3o_by_arm.csv),,no,point,Probing Results,L149_1942,sentences in AudioLLMHealthUtilityGap.tex not in pasted_tex_dryrun.tex,<local data dir>/paper1_final/AudioLLMHealthUtilityGap.tex
added_23sep,149,"On E-DAIC the language model probe reaches 0.70 and the encoder probe 0.59, both below the answer of 0.83 with paired intervals excluding zero.",0.70,0.7001,scores/part17/T7b/T7b_edaic300_meanof5_perclip.csv,"300 s window: the first 300 s of each E-DAIC window (Qwen2_5OmniProcessor truncates audio at 300 s; 217 of 275 windows truncated), not the full interview; PAPER VALUE (decided 2026-09-23): mean of fiv",MATCH,,"context [model=Qwen2.5-Omni (default); data=edaic_full/edaic/edaic_mid300/edaic_mid30; stream=encoder_probe/lm_probe/answer_state_probe/projector_probe; arm=all]; tier current; same-tier values that round differently: 0.0002896 (edaic edaic edaic_groupkfold5_pod_seed0..4_UNV, current), 0.001885 (edaic edaic edaic_groupkfold5_pod.csv vs omni_, current), 0.438 (edaic_mid30 single split nested, mid-recording 30 s , current), 0.4939 (edaic five split nested, mean of 5 repeats (js, current)",current,no,point,Probing Results,L149_2110,sentences in AudioLLMHealthUtilityGap.tex not in pasted_tex_dryrun.tex,<local data dir>/paper1_final/AudioLLMHealthUtilityGap.tex
added_23sep,149,"On E-DAIC the language model probe reaches 0.70 and the encoder probe 0.59, both below the answer of 0.83 with paired intervals excluding zero.",0.59,0.5916,scores/part16/EDAICFULL/edaic_full_perclip.csv,"NOT USED BY THE PAPER (decided 2026-09-23; the paper uses the mean of five per-repeat AUCs, 0.5884, as for Pitt 0.7706). 300 s window: the first 300 s of each E-DAIC full window (Qwen2_5OmniProcessor ",MATCH,,"context [model=Qwen2.5-Omni (default); data=edaic_full/edaic/edaic_mid300/edaic_mid30; stream=encoder_probe; arm=all]; tier current; same-tier values that round differently: 0.0002896 (edaic edaic edaic_groupkfold5_pod_seed0..4_UNV, current), 0.577 (edaic_mid30 five split nested, mean of 5 repeats, mi, current), 0.5966 (edaic five split nested, mean of 5 repeats (js, current), 0.5966 (edaic five split nested, mean of 5 repeats, current)",current,no,point,Probing Results,L149_2137,sentences in AudioLLMHealthUtilityGap.tex not in pasted_tex_dryrun.tex,<local data dir>/paper1_final/AudioLLMHealthUtilityGap.tex
added_23sep,149,"On E-DAIC the language model probe reaches 0.70 and the encoder probe 0.59, both below the answer of 0.83 with paired intervals excluding zero.",0.83,0.8285,<local data dir>/release/edaic_rerun/variants/o25_full_zeroshot.json,"zero shot, full stitched participant audio capped at 900 s, 89 of 275 capped, median window 591.8 s, E-DAIC 275 speakers",MATCH,,"context [model=Qwen2.5-Omni (default); data=edaic_full/edaic/edaic_mid300/edaic_mid30; stream=zero_shot; arm=all]; tier current; same-tier values that round differently: 0.662 (edaic E-DAIC (first 30 s, omni_final) Qwen2.5-, current), 0.662 (edaic Omni zero-shot answer AUC, 30 s window, current), 0.662 (edaic Qwen2.5-Omni zero-shot answer AUC, FIRST, current), 0.662 (edaic Qwen2.5-Omni zero-shot audio answer AUC,, current)",current,no,point,Probing Results,L149_2168,sentences in AudioLLMHealthUtilityGap.tex not in pasted_tex_dryrun.tex,<local data dir>/paper1_final/AudioLLMHealthUtilityGap.tex
added_23sep,180,"On the same pairs the transcript alone scores 0.15 on conflict and 0.96 on agreement for Qwen2.5-Omni and 0.22 and 0.95 for Qwen3-Omni, and its decision matches the audio answer on 86 percent of clips.",0.15,0.1498,<local data dir>/release/edaic_rerun/part16/POD1/p14_o25_1a_joined.csv,"text-prompt conflict-arm AUC, o25",MATCH,,context [model=Qwen2.5-Omni; data=any; stream=transcript; arm=conflict]; tier current,current,no,point,Conflict Test Results,L180_770,sentences in AudioLLMHealthUtilityGap.tex not in pasted_tex_dryrun.tex,<local data dir>/paper1_final/AudioLLMHealthUtilityGap.tex
added_23sep,180,"On the same pairs the transcript alone scores 0.15 on conflict and 0.96 on agreement for Qwen2.5-Omni and 0.22 and 0.95 for Qwen3-Omni, and its decision matches the audio answer on 86 percent of clips.",0.96,0.1498,<local data dir>/release/edaic_rerun/part16/POD1/p14_o25_1a_joined.csv,"text-prompt conflict-arm AUC, o25",MISMATCH,,"context [model=Qwen2.5-Omni; data=any; stream=transcript; arm=conflict]; best current candidate Qwen2.5-Omni|edaic_conflict_v2|transcript|conflict = 0.1498 (text-prompt conflict-arm AUC, o25) rounds to 0.15; same-tier values: 0.1498 (edaic_conflict_v2 E-DAIC Table 2 Qwen2.5-Omni transcript c, current), 0.1498 (edaic_conflict_v2 text-prompt conflict-arm AUC, o25, current), 0.1498 (edaic_conflict_v2 transcript-only, 483 conflict rows, current)",current,no,point,Conflict Test Results,L180_791,sentences in AudioLLMHealthUtilityGap.tex not in pasted_tex_dryrun.tex,<local data dir>/paper1_final/AudioLLMHealthUtilityGap.tex
added_23sep,180,"On the same pairs the transcript alone scores 0.15 on conflict and 0.96 on agreement for Qwen2.5-Omni and 0.22 and 0.95 for Qwen3-Omni, and its decision matches the audio answer on 86 percent of clips.",0.22,0.7987,<local data dir>/paper work/paper1_local_runs/omni_pitt_text.csv,"text only, Run A (local MPS, file mtime Sep 15), rank AUC recomputed here",MISMATCH,,"context [model=Qwen2.5-Omni; data=any; stream=transcript; arm=agreement]; best CONTESTED candidate Qwen2.5-Omni|pitt|transcript|agreement = 0.7987 (text only, Run A (local MPS, file mtime Sep 15), rank AUC re) rounds to 0.80; same-tier values: 0.7078 (pitt Pitt Qwen2.5-Omni transcript-only answer, CONTESTED), 0.7078 (pitt text only, Run B (pod /workspace/text_sc, CONTESTED), 0.7987 (pitt Pitt Qwen2.5-Omni transcript-only answer, CONTESTED), 0.7987 (pitt text only, Run A (local MPS, file mtime , CONTESTED)",CONTESTED,no,point,Conflict Test Results,L180_830,sentences in AudioLLMHealthUtilityGap.tex not in pasted_tex_dryrun.tex,<local data dir>/paper1_final/AudioLLMHealthUtilityGap.tex
added_23sep,180,"On the same pairs the transcript alone scores 0.15 on conflict and 0.96 on agreement for Qwen2.5-Omni and 0.22 and 0.95 for Qwen3-Omni, and its decision matches the audio answer on 86 percent of clips.",0.95,0.7987,<local data dir>/paper work/paper1_local_runs/omni_pitt_text.csv,"text only, Run A (local MPS, file mtime Sep 15), rank AUC recomputed here",MISMATCH,,"context [model=Qwen2.5-Omni; data=any; stream=transcript; arm=agreement]; best CONTESTED candidate Qwen2.5-Omni|pitt|transcript|agreement = 0.7987 (text only, Run A (local MPS, file mtime Sep 15), rank AUC re) rounds to 0.80; same-tier values: 0.7078 (pitt Pitt Qwen2.5-Omni transcript-only answer, CONTESTED), 0.7078 (pitt text only, Run B (pod /workspace/text_sc, CONTESTED), 0.7987 (pitt Pitt Qwen2.5-Omni transcript-only answer, CONTESTED), 0.7987 (pitt text only, Run A (local MPS, file mtime , CONTESTED)",CONTESTED,no,point,Conflict Test Results,L180_839,sentences in AudioLLMHealthUtilityGap.tex not in pasted_tex_dryrun.tex,<local data dir>/paper1_final/AudioLLMHealthUtilityGap.tex
added_23sep,180,"On the same pairs the transcript alone scores 0.15 on conflict and 0.96 on agreement for Qwen2.5-Omni and 0.22 and 0.95 for Qwen3-Omni, and its decision matches the audio answer on 86 percent of clips.",86,,,,UNMATCHED,,percentage with no indexed file value for context [model=Qwen3-Omni; data=any; stream=zero_shot; arm=all],,no,percent,Conflict Test Results,L180_905,sentences in AudioLLMHealthUtilityGap.tex not in pasted_tex_dryrun.tex,<local data dir>/paper1_final/AudioLLMHealthUtilityGap.tex
added_23sep,180,"The conflict arm stays below chance under the two other prompt wordings, at 0.34 and 0.24, and under sentiment thresholds of 0.60 and 0.80, at 0.26 and 0.19.",0.34,,,,UNMATCHED,,prompt-wording sensitivity figure; no averaged prompt-variant delta is indexed (omni_final/omni_*_p2.json and _p3.json hold the per-wording runs),,no,point,Conflict Test Results,L180_1002,sentences in AudioLLMHealthUtilityGap.tex not in pasted_tex_dryrun.tex,<local data dir>/paper1_final/AudioLLMHealthUtilityGap.tex
added_23sep,180,"The conflict arm stays below chance under the two other prompt wordings, at 0.34 and 0.24, and under sentiment thresholds of 0.60 and 0.80, at 0.26 and 0.19.",0.24,,,,UNMATCHED,,prompt-wording sensitivity figure; no averaged prompt-variant delta is indexed (omni_final/omni_*_p2.json and _p3.json hold the per-wording runs),,no,point,Conflict Test Results,L180_1011,sentences in AudioLLMHealthUtilityGap.tex not in pasted_tex_dryrun.tex,<local data dir>/paper1_final/AudioLLMHealthUtilityGap.tex
added_23sep,180,"The conflict arm stays below chance under the two other prompt wordings, at 0.34 and 0.24, and under sentiment thresholds of 0.60 and 0.80, at 0.26 and 0.19.",0.60,,,,UNMATCHED,,prompt-wording sensitivity figure; no averaged prompt-variant delta is indexed (omni_final/omni_*_p2.json and _p3.json hold the per-wording runs),,no,point,Conflict Test Results,L180_1051,sentences in AudioLLMHealthUtilityGap.tex not in pasted_tex_dryrun.tex,<local data dir>/paper1_final/AudioLLMHealthUtilityGap.tex
added_23sep,180,"The conflict arm stays below chance under the two other prompt wordings, at 0.34 and 0.24, and under sentiment thresholds of 0.60 and 0.80, at 0.26 and 0.19.",0.80,,,,UNMATCHED,,prompt-wording sensitivity figure; no averaged prompt-variant delta is indexed (omni_final/omni_*_p2.json and _p3.json hold the per-wording runs),,no,point,Conflict Test Results,L180_1060,sentences in AudioLLMHealthUtilityGap.tex not in pasted_tex_dryrun.tex,<local data dir>/paper1_final/AudioLLMHealthUtilityGap.tex
added_23sep,180,"The conflict arm stays below chance under the two other prompt wordings, at 0.34 and 0.24, and under sentiment thresholds of 0.60 and 0.80, at 0.26 and 0.19.",0.26,,,,UNMATCHED,,prompt-wording sensitivity figure; no averaged prompt-variant delta is indexed (omni_final/omni_*_p2.json and _p3.json hold the per-wording runs),,no,point,Conflict Test Results,L180_1069,sentences in AudioLLMHealthUtilityGap.tex not in pasted_tex_dryrun.tex,<local data dir>/paper1_final/AudioLLMHealthUtilityGap.tex
added_23sep,180,"The conflict arm stays below chance under the two other prompt wordings, at 0.34 and 0.24, and under sentiment thresholds of 0.60 and 0.80, at 0.26 and 0.19.",0.19,,,,UNMATCHED,,prompt-wording sensitivity figure; no averaged prompt-variant delta is indexed (omni_final/omni_*_p2.json and _p3.json hold the per-wording runs),,no,point,Conflict Test Results,L180_1078,sentences in AudioLLMHealthUtilityGap.tex not in pasted_tex_dryrun.tex,<local data dir>/paper1_final/AudioLLMHealthUtilityGap.tex
added_23sep,180,With the dataset's own binary label in place of the PHQ-8 cut points of 15 and 4 the set grows to 924 clips and the conflict arm scores 0.18.,15,,,,UNMATCHED,,count 15 not found as n or n_spk in index rows for (no dataset),,no,integer,Conflict Test Results,L180_1156,sentences in AudioLLMHealthUtilityGap.tex not in pasted_tex_dryrun.tex,<local data dir>/paper1_final/AudioLLMHealthUtilityGap.tex
added_23sep,180,With the dataset's own binary label in place of the PHQ-8 cut points of 15 and 4 the set grows to 924 clips and the conflict arm scores 0.18.,4,,,,UNMATCHED,,count 4 not found as n or n_spk in index rows for (no dataset),,no,integer,Conflict Test Results,L180_1163,sentences in AudioLLMHealthUtilityGap.tex not in pasted_tex_dryrun.tex,<local data dir>/paper1_final/AudioLLMHealthUtilityGap.tex
added_23sep,180,With the dataset's own binary label in place of the PHQ-8 cut points of 15 and 4 the set grows to 924 clips and the conflict arm scores 0.18.,924,924,<local data dir>/release/edaic_rerun/part16/POD1/p14_phq10_omni.csv,"1d PHQ-8>=10 cutoff rebuild, Omni audio conflict arm AUC",MATCH,,count: 2 index rows for any dataset carry n = 924 (e.g. part16/rows/POD1.tsv:17),current,no,integer,Conflict Test Results,L180_1182,sentences in AudioLLMHealthUtilityGap.tex not in pasted_tex_dryrun.tex,<local data dir>/paper1_final/AudioLLMHealthUtilityGap.tex
added_23sep,180,With the dataset's own binary label in place of the PHQ-8 cut points of 15 and 4 the set grows to 924 clips and the conflict arm scores 0.18.,0.18,,,,UNMATCHED,,prompt-wording sensitivity figure; no averaged prompt-variant delta is indexed (omni_final/omni_*_p2.json and _p3.json hold the per-wording runs),,no,point,Conflict Test Results,L180_1220,sentences in AudioLLMHealthUtilityGap.tex not in pasted_tex_dryrun.tex,<local data dir>/paper1_final/AudioLLMHealthUtilityGap.tex
added_23sep,180,"A second sentiment scorer selects 1,334 pairs, on which the conflict arm scores 0.46 and stays 0.39 below the agreement arm.",1,,,,UNMATCHED,,count 1 not found as n or n_spk in index rows for (no dataset),,no,integer,Conflict Test Results,L180_1260,sentences in AudioLLMHealthUtilityGap.tex not in pasted_tex_dryrun.tex,<local data dir>/paper1_final/AudioLLMHealthUtilityGap.tex
added_23sep,180,"A second sentiment scorer selects 1,334 pairs, on which the conflict arm scores 0.46 and stays 0.39 below the agreement arm.",334,,,,UNMATCHED,,count 334 not found as n or n_spk in index rows for (no dataset),,no,integer,Conflict Test Results,L180_1262,sentences in AudioLLMHealthUtilityGap.tex not in pasted_tex_dryrun.tex,<local data dir>/paper1_final/AudioLLMHealthUtilityGap.tex
added_23sep,180,"A second sentiment scorer selects 1,334 pairs, on which the conflict arm scores 0.46 and stays 0.39 below the agreement arm.",0.46,0.5322,<local data dir>/release/omni_final/omni_pitt_zeroshot_scores.csv,"Pitt Qwen2.5-Omni audio zero-shot answer AUC, conflict arm",MISMATCH,,"context [model=Qwen2.5-Omni (default); data=any; stream=zero_shot; arm=conflict; conflict-test default stream]; best current candidate Qwen2.5-Omni|pitt|zero_shot|conflict = 0.5322 (Pitt Qwen2.5-Omni audio zero-shot answer AUC, conflict arm) rounds to 0.53; same-tier values: 0.1759 (edaic_conflict_v2 1d PHQ-8>=10 cutoff rebuild, Omni audio , current), 0.2218 (edaic_conflict_v2 E-DAIC Table 2 Qwen2.5-Omni audio confli, current), 0.2218 (edaic_conflict_v2 Qwen2.5-Omni | A_edaic_part14 | conflict, current), 0.2218 (edaic_conflict_v2 pipeline validation, rebuilt 0.70 set, o, current)",current,no,point,Conflict Test Results,L180_1306,sentences in AudioLLMHealthUtilityGap.tex not in pasted_tex_dryrun.tex,<local data dir>/paper1_final/AudioLLMHealthUtilityGap.tex
added_23sep,180,"A second sentiment scorer selects 1,334 pairs, on which the conflict arm scores 0.46 and stays 0.39 below the agreement arm.",0.39,0.5322,<local data dir>/release/omni_final/omni_pitt_zeroshot_scores.csv,"Pitt Qwen2.5-Omni audio zero-shot answer AUC, conflict arm",MISMATCH,,"context [model=Qwen2.5-Omni (default); data=any; stream=zero_shot; arm=conflict; conflict-test default stream]; best current candidate Qwen2.5-Omni|pitt|zero_shot|conflict = 0.5322 (Pitt Qwen2.5-Omni audio zero-shot answer AUC, conflict arm) rounds to 0.53; same-tier values: 0.1759 (edaic_conflict_v2 1d PHQ-8>=10 cutoff rebuild, Omni audio , current), 0.2218 (edaic_conflict_v2 E-DAIC Table 2 Qwen2.5-Omni audio confli, current), 0.2218 (edaic_conflict_v2 Qwen2.5-Omni | A_edaic_part14 | conflict, current), 0.2218 (edaic_conflict_v2 pipeline validation, rebuilt 0.70 set, o, current)",current,no,point,Conflict Test Results,L180_1321,sentences in AudioLLMHealthUtilityGap.tex not in pasted_tex_dryrun.tex,<local data dir>/paper1_final/AudioLLMHealthUtilityGap.tex
added_23sep,180,"It also answers Yes on 97 percent of the clips, and Qwen2-Audio on 87 percent or more, so their AUC reflects ranking rather than decisions.",97,,,,UNMATCHED,,percentage with no indexed file value for context [model=Qwen2-Audio; data=any; stream=zero_shot; arm=all],,no,percent,Conflict Test Results,L180_1521,sentences in AudioLLMHealthUtilityGap.tex not in pasted_tex_dryrun.tex,<local data dir>/paper1_final/AudioLLMHealthUtilityGap.tex
added_23sep,180,"It also answers Yes on 97 percent of the clips, and Qwen2-Audio on 87 percent or more, so their AUC reflects ranking rather than decisions.",87,,,,UNMATCHED,,"method/design constant, not a result; no file value indexed",,yes,percent,Conflict Test Results,L180_1565,sentences in AudioLLMHealthUtilityGap.tex not in pasted_tex_dryrun.tex,<local data dir>/paper1_final/AudioLLMHealthUtilityGap.tex
added_23sep,180,Asking Qwen2.5-Omni to judge the voice alone leaves its Pitt answer within 0.01 of the recording wording.,0.01,,,,UNMATCHED,,prompt-wording sensitivity figure; no averaged prompt-variant delta is indexed (omni_final/omni_*_p2.json and _p3.json hold the per-wording runs),,no,point,Conflict Test Results,L180_1926,sentences in AudioLLMHealthUtilityGap.tex not in pasted_tex_dryrun.tex,<local data dir>/paper1_final/AudioLLMHealthUtilityGap.tex
added_23sep,226,"On the Pitt dataset the retrained projector reaches the same 0.77 as the probe on the hidden state at the answer position in Section \refsec:gap, so retraining recovers what the readout left unused.",0.77,0.7673,<local data dir>/release/omni_final/omnisft_pitt_oof.csv,"projector only fine tune, 5 fold OOF, rank AUC recomputed here",MATCH,,context [model=Qwen2.5-Omni (default); data=pitt; stream=projector_ft; arm=all]; tier current,current,no,point,Supervised Fine-tuning,L226_387,sentences in AudioLLMHealthUtilityGap.tex not in pasted_tex_dryrun.tex,<local data dir>/paper1_final/AudioLLMHealthUtilityGap.tex
added_23sep,226,"LoRA on the language model, with 5.0 M trainable parameters against 4.6 M for the projector, reaches 0.83 on Pitt and 0.55 on its conflict segments.",5.0,0.8032,<local data dir>/release/omni_final/omni_pitt_nested_repeats.json,"five split nested, mean of 5 repeats (json field llm.mean)",MISMATCH,,"context [model=Qwen2.5-Omni (default); data=pitt; stream=lm_probe; arm=all]; best current candidate Qwen2.5-Omni|pitt|lm_probe|all = 0.8032 (five split nested, mean of 5 repeats (json field llm.mean)) rounds to 0.8; same-tier values: 0.8032 (pitt five split nested, mean of 5 repeats (js, current), 0.8032 (pitt five split nested, mean of 5 repeats, current)",current,no,point,Supervised Fine-tuning,L226_670,sentences in AudioLLMHealthUtilityGap.tex not in pasted_tex_dryrun.tex,<local data dir>/paper1_final/AudioLLMHealthUtilityGap.tex
