status,line,item_id,paper_value,file_value,file_path,triage_2325Z,verified_value,verified_file,why,triage,context
MISMATCH,180,L180_1723,0.39,0.8593,<local data dir>/release/omni_final/omnisft_pitt_oof.csv,MISPAIRING,0.8554 - 0.4619 = 0.3935,<local data dir>/release/scores/part20/POD3b/sst2_pairs_o25_audio.csv,Gap to the agreement arm (distinct segments).,UNTRIAGED (new since the 06:38 run),"A second sentiment scorer (DistilBERT fine-tuned on SST-2) selects 1,334 pairs, on which the conflict arm scores 0.46 [0.42, 0.51], at chance rather than below it, and stays 0.39 below the agreement arm."
MISMATCH,180,L180_1824,0.20,0.5189,<local data dir>/release/omni_final/omnisft_pitt_oof.csv,MISPAIRING,0.1951 on 420 segments,<local data dir>/release/scores/part20/POD3b/sst2_pairs_o25_audio_diag_by_roberta_arm.csv,Matcher paired it with the Pitt FT file.,UNTRIAGED (new since the 06:38 run),The inversion holds on the 420 segments both scorers call conflicting (0.20) and not on the 855 the first scorer calls neutral (0.62).
MISMATCH,180,L180_1881,0.62,0.5189,<local data dir>/release/omni_final/omnisft_pitt_oof.csv,MISPAIRING,0.6150 on 855 segments,<local data dir>/release/scores/part20/POD3b/sst2_pairs_o25_audio_diag_by_roberta_arm.csv,Matcher paired it with the Pitt FT file.,UNTRIAGED (new since the 06:38 run),The inversion holds on the 420 segments both scorers call conflicting (0.20) and not on the 855 the first scorer calls neutral (0.62).
MISMATCH,180,L180_2394,0.53 to 0.61,0.1800 to 0.2900,omni_pitt_zeroshot_scores.csv ; pitt_zeroshot_scores.csv ; q3o_pitt_zeroshot_scores.csv,MISPAIRING,"AF2 0.5835 / 0.5337, AF3 0.6075 / 0.5855: range 0.53 to 0.61",<local data dir>/release/scores/part20/POD4c/af2_orig30_*.csv; overnight2/part10/af3_pitt.csv,Matcher paired the Flamingo range with the Qwen arm drops.,UNTRIAGED (new since the 06:38 run),"On the Pitt dataset the three Qwen models drop by 0.17 to 0.29 from the agreement to the conflict arm but none falls significantly below chance, Kimi-Audio shows no drop, and the two Audio Flamingo models score 0.53 to 0.61 on both arms (Table \reftab:conflict)."
MISMATCH,180,L180_2521,0.01,0.6578,<local data dir>/release/omni_final/omni_pitt_zeroshot_scores.csv,MISPAIRING,-0.0104 (voice minus recording wording),same as above,Paired difference.,UNTRIAGED (new since the 06:38 run),"Asking Qwen2.5-Omni to judge the voice alone moves its Pitt answer by -0.01 [-0.04, 0.02]."
MISMATCH,180,L180_2530,0.04,0.6578,<local data dir>/release/omni_final/omni_pitt_zeroshot_scores.csv,MISPAIRING,-0.0356 (lower bound),same as above,Interval bound.,UNTRIAGED (new since the 06:38 run),"Asking Qwen2.5-Omni to judge the voice alone moves its Pitt answer by -0.01 [-0.04, 0.02]."
MISMATCH,180,L180_2536,0.02,0.6578,<local data dir>/release/omni_final/omni_pitt_zeroshot_scores.csv,MISPAIRING,"-0.0104 [-0.0356, 0.0155]",<local data dir>/release/scores/part20/POD4/o25_orig_voice.csv + omni_final/omni_pitt_zeroshot_scores.csv,Interval bound of the voice-wording change.,UNTRIAGED (new since the 06:38 run),"Asking Qwen2.5-Omni to judge the voice alone moves its Pitt answer by -0.01 [-0.04, 0.02]."
MISMATCH,180,L180_931,0.15,0.455,<local data dir>/paper1_local_runs/omni_pitt_text.csv,MISPAIRING,"0.1498 [0.1131, 0.1887] n=483",<local data dir>/release/edaic_rerun/part16/POD1/p14_1a_completion.json,Matcher used a Pitt transcript file (0.455).,UNTRIAGED (new since the 06:38 run),"On the same pairs the transcript alone scores 0.15 on conflict and 0.96 on agreement for Qwen2.5-Omni and 0.22 and 0.95 for Qwen3-Omni, and for Qwen2.5-Omni the transcript decision matches the audio decision on 86 percent of clips."
MISMATCH,180,L180_952,0.96,0.455,<local data dir>/paper1_local_runs/omni_pitt_text.csv,MISPAIRING,0.9620 (311 distinct) / 0.9596 (483 rows),<local data dir>/release/edaic_rerun/part16/POD1/p14_o25_1a_joined.csv; p14_1a_completion.json,Matcher used a Pitt transcript file (0.455).,UNTRIAGED (new since the 06:38 run),"On the same pairs the transcript alone scores 0.15 on conflict and 0.96 on agreement for Qwen2.5-Omni and 0.22 and 0.95 for Qwen3-Omni, and for Qwen2.5-Omni the transcript decision matches the audio decision on 86 percent of clips."
MISMATCH,180,L180_991,0.22,0.7987,<local data dir>/paper1_local_runs/omni_pitt_text.csv,MISPAIRING,"0.2243 [0.1757, 0.2742] n=483",Qwen3-Omni transcript file (06:38 triage),Same as the 06:38 triage.,PROBABLY MISPAIRING (sentence edited; was line 180),"On the same pairs the transcript alone scores 0.15 on conflict and 0.96 on agreement for Qwen2.5-Omni and 0.22 and 0.95 for Qwen3-Omni, and for Qwen2.5-Omni the transcript decision matches the audio decision on 86 percent of clips."
MISMATCH,226,L226_1084,0.77,0.8032,<local data dir>/release/omni_final/omni_pitt_nested_repeats.json,MISPAIRING,0.7696 (LoRA plus projector),<local data dir>/release/omni_final/abl2_pitt_both_oof.csv,Matcher paired every number of the sentence with the Pitt probe.,UNTRIAGED (new since the 06:38 run),"Low-rank adaptation (LoRA) of the language model (rank 8, all attention projections of the 28 layers, 5.0 M trainable parameters against 4.6 M for the projector) reaches 0.825 on Pitt, 0.06 [0.02, 0.10] above the projector run, and 0.55 on its conflict segments, and training both together gives 0.77."
MISMATCH,226,L226_1154,+0.02,0.1664,<local data dir>/release/edaic_rerun/variants/o25_full_zeroshot_scores.csv,MISPAIRING,"+0.0223 [-0.0064, 0.0547]",part24/FT/FT24_whole_seed0_perclip.csv + A2,Matcher paired the paired gain with a first-30 s difference file.,UNTRIAGED (new since the 06:38 run),"On E-DAIC the retrained projector stays at the zero-shot level (+0.02 [-0.01, 0.05], and 0.82 with a second seed), consistent with a task the words carry more than the voice."
MISMATCH,226,L226_1164,0.01,0.8285,<local data dir>/release/edaic_rerun/variants/o25_full_zeroshot.json,MISPAIRING,-0.0064 (lower bound),part24/FT/FT24_whole_seed0_perclip.csv + A2,Interval bound; printed with its minus sign in the tex.,UNTRIAGED (new since the 06:38 run),"On E-DAIC the retrained projector stays at the zero-shot level (+0.02 [-0.01, 0.05], and 0.82 with a second seed), consistent with a task the words carry more than the voice."
MISMATCH,226,L226_1170,0.05,0.8285,<local data dir>/release/edaic_rerun/variants/o25_full_zeroshot.json,MISPAIRING,+0.0547 (upper bound of FT minus zero-shot),part24/FT/FT24_whole_seed0_perclip.csv + A2,Interval bound.,UNTRIAGED (new since the 06:38 run),"On E-DAIC the retrained projector stays at the zero-shot level (+0.02 [-0.01, 0.05], and 0.82 with a second seed), consistent with a task the words carry more than the voice."
MISMATCH,226,L226_1181,0.82,0.8285,<local data dir>/release/edaic_rerun/variants/o25_full_zeroshot.json,MISPAIRING,"0.8184 [0.7496, 0.8758] (seed 1)",part24/FT/FT24_whole_seed1all_perclip.csv,Matcher paired it with the first-300 s zero-shot answer.,UNTRIAGED (new since the 06:38 run),"On E-DAIC the retrained projector stays at the zero-shot level (+0.02 [-0.01, 0.05], and 0.82 with a second seed), consistent with a task the words carry more than the voice."
MISMATCH,226,L226_1340,0.59 (after),0.2283,<local data dir>/release/edaic_rerun/part16/POD1/p14_o25_sftfull.csv,MISPAIRING,"conflict 0.5932 [0.5087, 0.6831] n=483 (before 0.2218)",<local data dir>/release/scores/part20/POD3/p14_ft966_oof.csv; before: edaic_rerun/part14/p14_o25_zeroshot_scores.csv,"Matcher used p14_o25_sftfull.csv (conflict 0.2283), a different training set.",UNTRIAGED (new since the 06:38 run),"Retraining it on the E-DAIC pairs themselves lifts the conflict arm from 0.22 to 0.59 and lowers agreement from 0.96 to 0.67, so the language bias can be trained away only at the cost of the arm the words were carrying."
MISMATCH,226,L226_1379,0.67 (after),0.793,<local data dir>/release/edaic_rerun/part16/POD1/p14_o25_sftfull.csv,MISPAIRING,"agreement 0.6686 [0.5727, 0.7586] n=311 (before 0.9647)",<local data dir>/release/scores/part20/POD3/p14_ft966_oof.csv; before: edaic_rerun/part17/T1_perclip_distinct_agreement.csv,"Matcher used p14_o25_sftfull.csv, the projector trained on the 275 interviews (agreement 0.7930), not the one trained on the pairs.",UNTRIAGED (new since the 06:38 run),"Retraining it on the E-DAIC pairs themselves lifts the conflict arm from 0.22 to 0.59 and lowers agreement from 0.96 to 0.67, so the language bias can be trained away only at the cost of the arm the words were carrying."
MISMATCH,226,L226_469,0.74 to 0.81,0.7507 to 0.8612,omni_adress2020_nested_repeats.json ; omni_adresso_nested_repeats.json ; omni_pitt_nested_repeats.json,MISPAIRING,"seeds 1 to 3: 0.7396, 0.8085, 0.7975","<local data dir>/release/scores/part20/POD1b/std_ft_seed{1,2,3}_pitt_oof.csv",Matcher used the probe files.,UNTRIAGED (new since the 06:38 run),"On the Pitt dataset the retrained projector reaches 0.77, the level of the answer-state probe of Section \refsec:gap, and 0.74 to 0.81 across three further seeds."
MISMATCH,226,L226_557,0.45 to 0.57,0.6083 to 0.9028,omnisft_adress2020_sft.json ; omnisft_adresso_sft.json ; omnisft_edaic_sft.json ; omnisft_kcl_oof.csv ; omnisft_neurovoz_sft.json ; omnisft_pcgita_sft.json ; omnisft_pitt_oof.csv,MISPAIRING,conflict arm 0.4490 to 0.5666 over six standard runs,same six files,Matcher mixed other datasets' FT files.,UNTRIAGED (new since the 06:38 run),"Its conflict arm stays at chance in every run (0.45 to 0.57, every interval including 0.5) while its agreement arm rises to 0.82 to 0.90, so the projector recovers the overall AUC through the arm the words already help."
MISMATCH,226,L226_596,0.5,0.7673,<local data dir>/release/omni_final/omnisft_pitt_oof.csv,MISPAIRING,every conflict-arm interval contains 0.5: yes (7 runs incl. balanced),six standard FT files + balanced_ft_pitt_oof.csv,"0.5 is the chance level, not an AUC to match.",UNTRIAGED (new since the 06:38 run),"Its conflict arm stays at chance in every run (0.45 to 0.57, every interval including 0.5) while its agreement arm rises to 0.82 to 0.90, so the projector recovers the overall AUC through the arm the words already help."
MISMATCH,226,L226_634,0.82 to 0.90,0.7673 to 0.9028,omnisft_adress2020_sft.json ; omnisft_adresso_sft.json ; omnisft_neurovoz_sft.json ; omnisft_pcgita_sft.json ; omnisft_pitt_oof.csv,MISPAIRING,agreement arm 0.8213 to 0.9022 over six standard runs,"<local data dir>/release/omni_final/omnisft_pitt_oof.csv; scores/part20/POD1{,b}/*ft*_pitt*_oof.csv",Matcher mixed other datasets' FT files.,UNTRIAGED (new since the 06:38 run),"Its conflict arm stays at chance in every run (0.45 to 0.57, every interval including 0.5) while its agreement arm rises to 0.82 to 0.90, so the projector recovers the overall AUC through the arm the words already help."
MISMATCH,226,L226_888,5.0,0.8032,<local data dir>/release/omni_final/omni_pitt_nested_repeats.json,MISPAIRING,"5,046,272 parameters",json + arithmetic (06:38 triage),"Parameter count, not an AUC.",PROBABLY MISPAIRING (sentence edited; was line 226),"Low-rank adaptation (LoRA) of the language model (rank 8, all attention projections of the 28 layers, 5.0 M trainable parameters against 4.6 M for the projector) reaches 0.825 on Pitt, 0.06 [0.02, 0.10] above the projector run, and 0.55 on its conflict segments, and training both together gives 0.77."
MISMATCH,226,L226_924,4.6,0.8032,<local data dir>/release/omni_final/omni_pitt_nested_repeats.json,MISPAIRING,"4,591,104 parameters",arithmetic 1280 x 3584 + 3584 (06:38 triage),"Parameter count, not an AUC.",PROBABLY MISPAIRING (sentence edited; was line 226),"Low-rank adaptation (LoRA) of the language model (rank 8, all attention projections of the 28 layers, 5.0 M trainable parameters against 4.6 M for the projector) reaches 0.825 on Pitt, 0.06 [0.02, 0.10] above the projector run, and 0.55 on its conflict segments, and training both together gives 0.77."
MISMATCH,226,L226_958,0.825,0.8032,<local data dir>/release/omni_final/omni_pitt_nested_repeats.json,MISPAIRING,0.8250 (LoRA),<local data dir>/release/edaic_rerun/part16/POD2/lora_pitt_oof.csv,Same.,UNTRIAGED (new since the 06:38 run),"Low-rank adaptation (LoRA) of the language model (rank 8, all attention projections of the 28 layers, 5.0 M trainable parameters against 4.6 M for the projector) reaches 0.825 on Pitt, 0.06 [0.02, 0.10] above the projector run, and 0.55 on its conflict segments, and training both together gives 0.77."
MISMATCH,226,L226_973,0.06,0.8032,<local data dir>/release/omni_final/omni_pitt_nested_repeats.json,MISPAIRING,"0.0577 [0.0154, 0.1044] (LoRA minus projector)",<local data dir>/release/edaic_rerun/part16/POD2/lora_pitt_oof.csv + omni_final/omnisft_pitt_oof.csv,Same.,UNTRIAGED (new since the 06:38 run),"Low-rank adaptation (LoRA) of the language model (rank 8, all attention projections of the 28 layers, 5.0 M trainable parameters against 4.6 M for the projector) reaches 0.825 on Pitt, 0.06 [0.02, 0.10] above the projector run, and 0.55 on its conflict segments, and training both together gives 0.77."
MISMATCH,226,L226_979,"0.02, 0.10",0.8032,<local data dir>/release/omni_final/omni_pitt_nested_repeats.json,MISPAIRING,"[0.0154, 0.1044]",as L226_973,Interval of LoRA minus projector.,UNTRIAGED (new since the 06:38 run),"Low-rank adaptation (LoRA) of the language model (rank 8, all attention projections of the 28 layers, 5.0 M trainable parameters against 4.6 M for the projector) reaches 0.825 on Pitt, 0.06 [0.02, 0.10] above the projector run, and 0.55 on its conflict segments, and training both together gives 0.77."
